step,eval_envs/return/close_jar,eval_envs/length/close_jar,eval_envs/total_transitions/close_jar,eval_envs/return/open_drawer,eval_envs/length/open_drawer,eval_envs/total_transitions/open_drawer,eval_envs/return/sweep_to_dustpan_of_size,eval_envs/length/sweep_to_dustpan_of_size,eval_envs/total_transitions/sweep_to_dustpan_of_size,eval_envs/return/meat_off_grill,eval_envs/length/meat_off_grill,eval_envs/total_transitions/meat_off_grill,eval_envs/return/turn_tap,eval_envs/length/turn_tap,eval_envs/total_transitions/turn_tap,eval_envs/return/slide_block_to_color_target,eval_envs/length/slide_block_to_color_target,eval_envs/total_transitions/slide_block_to_color_target,eval_envs/return/put_item_in_drawer,eval_envs/length/put_item_in_drawer,eval_envs/total_transitions/put_item_in_drawer,eval_envs/return/reach_and_drag,eval_envs/length/reach_and_drag,eval_envs/total_transitions/reach_and_drag,eval_envs/return/push_buttons,eval_envs/length/push_buttons,eval_envs/total_transitions/push_buttons,eval_envs/return/stack_blocks,eval_envs/length/stack_blocks,eval_envs/total_transitions/stack_blocks
50000,24.0,21.08,527,52.0,11.2,807,16.0,21.88,1354,48.0,15.4,1739,40.0,16.72,2157,28.0,18.84,2628,4.0,19.12,3106,52.0,13.84,3452,44.0,17.08,3879,0.0,24.88,4501
40000,32.0,19.4,485,68.0,8.92,708,0.0,24.96,1332,36.0,16.0,1732,56.0,14.64,2098,24.0,19.84,2594,4.0,23.84,3190,32.0,19.28,3672,20.0,20.76,4191,4.0,24.76,4810
30000,12.0,18.84,471,36.0,13.32,804,0.0,25.0,1429,20.0,19.28,1911,44.0,15.24,2292,8.0,23.76,2886,0.0,18.0,3336,12.0,21.08,3863,16.0,21.84,4409,0.0,25.0,5034
20000,28.0,19.68,492,28.0,14.64,858,4.0,24.52,1471,20.0,21.84,2017,68.0,11.08,2294,4.0,24.44,2905,0.0,21.72,3448,4.0,21.88,3995,32.0,18.92,4468,0.0,25.0,5093
10000,0.0,16.2,405,12.0,19.08,882,0.0,19.96,1381,4.0,22.4,1941,48.0,14.36,2300,4.0,24.28,2907,0.0,22.28,3464,0.0,25.0,4089,8.0,23.24,4670,0.0,16.52,5083
100000,44.0,17.48,437,72.0,8.24,643,44.0,17.0,1068,76.0,10.48,1330,48.0,14.2,1685,28.0,19.32,2168,28.0,17.92,2616,92.0,9.56,2855,20.0,21.24,3386,8.0,24.6,4001
60000,28.0,18.64,466,64.0,10.4,726,52.0,16.36,1135,72.0,11.44,1421,64.0,13.08,1748,20.0,20.16,2252,4.0,24.08,2854,32.0,19.6,3344,12.0,22.4,3904,0.0,24.24,4510
90000,32.0,19.44,486,76.0,10.04,737,40.0,18.12,1190,64.0,13.36,1524,56.0,13.16,1853,16.0,21.92,2401,4.0,19.96,2900,28.0,19.96,3399,12.0,22.64,3965,0.0,25.0,4590
70000,28.0,20.28,507,56.0,9.36,741,20.0,21.84,1287,56.0,12.84,1608,32.0,13.24,1939,12.0,22.44,2500,8.0,20.32,3008,68.0,13.4,3343,28.0,19.6,3833,4.0,23.96,4432
80000,28.0,19.96,499,84.0,6.6,664,24.0,20.36,1173,84.0,8.16,1377,60.0,12.96,1701,0.0,24.52,2314,0.0,23.32,2897,52.0,16.6,3312,32.0,19.16,3791,4.0,24.68,4408
