step,eval_envs/return/close_jar,eval_envs/length/close_jar,eval_envs/total_transitions/close_jar,eval_envs/return/open_drawer,eval_envs/length/open_drawer,eval_envs/total_transitions/open_drawer,eval_envs/return/sweep_to_dustpan_of_size,eval_envs/length/sweep_to_dustpan_of_size,eval_envs/total_transitions/sweep_to_dustpan_of_size,eval_envs/return/meat_off_grill,eval_envs/length/meat_off_grill,eval_envs/total_transitions/meat_off_grill,eval_envs/return/turn_tap,eval_envs/length/turn_tap,eval_envs/total_transitions/turn_tap,eval_envs/return/slide_block_to_color_target,eval_envs/length/slide_block_to_color_target,eval_envs/total_transitions/slide_block_to_color_target,eval_envs/return/put_item_in_drawer,eval_envs/length/put_item_in_drawer,eval_envs/total_transitions/put_item_in_drawer,eval_envs/return/reach_and_drag,eval_envs/length/reach_and_drag,eval_envs/total_transitions/reach_and_drag,eval_envs/return/push_buttons,eval_envs/length/push_buttons,eval_envs/total_transitions/push_buttons,eval_envs/return/stack_blocks,eval_envs/length/stack_blocks,eval_envs/total_transitions/stack_blocks
50000,24.0,20.72,518,72.0,7.4,703,24.0,20.72,1221,32.0,19.56,1710,48.0,15.0,2085,20.0,19.64,2576,0.0,22.64,3142,36.0,18.6,3607,0.0,25.0,4232,8.0,21.84,4778
20000,20.0,22.48,562,28.0,6.36,721,0.0,22.12,1274,4.0,21.4,1809,48.0,13.36,2143,12.0,21.44,2679,0.0,20.64,3195,16.0,20.36,3704,0.0,25.0,4329,0.0,23.36,4913
30000,16.0,23.92,598,60.0,9.52,836,4.0,22.72,1404,16.0,22.04,1955,32.0,15.96,2354,8.0,22.72,2922,4.0,18.08,3374,32.0,20.6,3889,4.0,24.12,4492,0.0,22.48,5054
40000,20.0,21.72,543,76.0,8.16,747,4.0,19.64,1238,28.0,20.44,1749,32.0,17.48,2186,24.0,20.84,2707,0.0,21.96,3256,28.0,20.4,3766,8.0,23.88,4363,0.0,22.72,4931
10000,0.0,25.0,625,8.0,21.04,1151,0.0,25.0,1776,0.0,21.16,2305,20.0,3.96,2404,0.0,25.0,3029,0.0,20.36,3538,0.0,24.32,4146,0.0,24.56,4760,0.0,25.0,5385
80000,44.0,16.88,422,72.0,7.24,603,24.0,21.08,1130,56.0,15.04,1506,48.0,12.16,1810,4.0,24.28,2417,0.0,19.52,2905,60.0,14.4,3265,24.0,20.32,3773,8.0,24.16,4377
90000,36.0,19.04,476,56.0,12.96,800,64.0,13.4,1135,52.0,13.96,1484,40.0,16.6,1899,32.0,19.84,2395,0.0,23.04,2971,36.0,18.88,3443,8.0,23.52,4031,8.0,24.4,4641
70000,28.0,19.92,498,76.0,9.92,746,28.0,20.4,1256,52.0,15.6,1646,32.0,17.04,2072,24.0,20.24,2578,0.0,20.76,3097,32.0,16.28,3504,12.0,22.48,4066,12.0,22.08,4618
100000,52.0,15.68,392,72.0,8.8,612,20.0,21.64,1153,72.0,12.56,1467,44.0,13.48,1804,24.0,20.88,2326,4.0,23.44,2912,20.0,21.48,3449,8.0,23.28,4031,0.0,24.08,4633
60000,16.0,22.32,558,72.0,10.12,811,12.0,22.72,1379,44.0,17.56,1818,52.0,14.16,2172,36.0,16.48,2584,0.0,24.16,3188,40.0,17.8,3633,8.0,23.28,4215,0.0,24.2,4820
